靡ㄩ絏	虏嘿	るら	Μ絃基(じ)
COID	Name	MDATE	CLOSE
1101   	猟         	20140102	   32.76
1216   	参         	20140102	   40.41
1301   	鹅         	20140102	   65.53
1402   	环狥穝       	20140102	   27.04
2002   	い葵         	20140102	   22.13
2105   	タ穝         	20140102	   62.60
2912   	参禬       	20140102	  170.17
9904   	腳Θ         	20140102	   35.77
6505   	鹅て       	20140102	   66.81
2303   	羛筿         	20140102	   10.10
2330   	縩筿       	20140102	   89.00
2408   	玭ㄈ       	20140102	   33.91
2357   	地河         	20140102	  199.29
3008   	ミ       	20140102	 1119.08
3481   	竤承         	20140102	    9.36
2412   	い地筿       	20140102	   73.37
2308   	笷筿       	20140102	  139.78
2327   	瓣エ         	20140102	   30.20
2317   	翬         	20140102	   63.71
2474   	Θ         	20140102	  171.06
1101   	猟         	20140103	   32.15
1216   	参         	20140103	   40.04
1301   	鹅         	20140103	   65.28
1402   	环狥穝       	20140103	   26.68
2002   	い葵         	20140103	   21.97
2105   	タ穝         	20140103	   61.71
2912   	参禬       	20140103	  167.29
9904   	腳Θ         	20140103	   35.77
6505   	鹅て       	20140103	   65.90
2303   	羛筿         	20140103	   10.06
2330   	縩筿       	20140103	   87.29
2408   	玭ㄈ       	20140103	   35.99
2357   	地河         	20140103	  199.29
3008   	ミ       	20140103	 1128.36
3481   	竤承         	20140103	    9.40
2412   	い地筿       	20140103	   73.37
2308   	笷筿       	20140103	  138.12
2327   	瓣エ         	20140103	   30.88
2317   	翬         	20140103	   62.91
2474   	Θ         	20140103	  169.32
1101   	猟         	20140106	   31.46
1216   	参         	20140106	   40.04
1301   	鹅         	20140106	   64.87
1402   	环狥穝       	20140106	   26.36
2002   	い葵         	20140106	   21.88
2105   	タ穝         	20140106	   61.71
2912   	参禬       	20140106	  168.52
9904   	腳Θ         	20140106	   34.54
6505   	鹅て       	20140106	   66.73
2303   	羛筿         	20140106	   10.18
2330   	縩筿       	20140106	   87.29
2408   	玭ㄈ       	20140106	   38.47
2357   	地河         	20140106	  198.18
3008   	ミ       	20140106	 1091.22
3481   	竤承         	20140106	    9.14
2412   	い地筿       	20140106	   72.97
2308   	笷筿       	20140106	  136.87
2327   	瓣エ         	20140106	   31.69
2317   	翬         	20140106	   62.60
2474   	Θ         	20140106	  165.41
1101   	猟         	20140107	   31.86
1216   	参         	20140107	   39.96
1301   	鹅         	20140107	   64.38
1402   	环狥穝       	20140107	   26.36
2002   	い葵         	20140107	   21.72
2105   	タ穝         	20140107	   63.00
2912   	参禬       	20140107	  165.64
9904   	腳Θ         	20140107	   35.36
6505   	鹅て       	20140107	   66.81
2303   	羛筿         	20140107	   10.35
2330   	縩筿       	20140107	   86.87
2408   	玭ㄈ       	20140107	   41.11
2357   	地河         	20140107	  199.29
3008   	ミ       	20140107	 1095.86
3481   	竤承         	20140107	    9.27
2412   	い地筿       	20140107	   72.81
2308   	笷筿       	20140107	  136.87
2327   	瓣エ         	20140107	   31.82
2317   	翬         	20140107	   62.60
2474   	Θ         	20140107	  168.89
1101   	猟         	20140108	   31.68
1216   	参         	20140108	   39.81
1301   	鹅         	20140108	   64.05
1402   	环狥穝       	20140108	   26.76
2002   	い葵         	20140108	   21.72
2105   	タ穝         	20140108	   63.40
2912   	参禬       	20140108	  165.64
9904   	腳Θ         	20140108	   34.95
6505   	鹅て       	20140108	   67.47
2303   	羛筿         	20140108	   10.64
2330   	縩筿       	20140108	   88.57
2408   	玭ㄈ       	20140108	   43.91
2357   	地河         	20140108	  206.67
3008   	ミ       	20140108	 1054.07
3481   	竤承         	20140108	    9.23
2412   	い地筿       	20140108	   72.81
2308   	笷筿       	20140108	  137.28
2327   	瓣エ         	20140108	   32.49
2317   	翬         	20140108	   62.99
2474   	Θ         	20140108	  168.89
1101   	猟         	20140109	   30.96
1216   	参         	20140109	   39.14
1301   	鹅         	20140109	   64.71
1402   	环狥穝       	20140109	   26.52
2002   	い葵         	20140109	   21.67
2105   	タ穝         	20140109	   62.60
2912   	参禬       	20140109	  165.23
9904   	腳Θ         	20140109	   33.92
6505   	鹅て       	20140109	   68.05
2303   	羛筿         	20140109	   10.55
2330   	縩筿       	20140109	   86.02
2408   	玭ㄈ       	20140109	   46.94
2357   	地河         	20140109	  205.93
3008   	ミ       	20140109	 1049.42
3481   	竤承         	20140109	    9.73
2412   	い地筿       	20140109	   72.81
2308   	笷筿       	20140109	  137.28
2327   	瓣エ         	20140109	   33.71
2317   	翬         	20140109	   63.79
2474   	Θ         	20140109	  173.23
1101   	猟         	20140110	   31.61
1216   	参         	20140110	   39.06
1301   	鹅         	20140110	   64.71
1402   	环狥穝       	20140110	   26.60
2002   	い葵         	20140110	   21.67
2105   	タ穝         	20140110	   62.12
2912   	参禬       	20140110	  165.23
9904   	腳Θ         	20140110	   34.00
6505   	鹅て       	20140110	   66.73
2303   	羛筿         	20140110	   10.51
2330   	縩筿       	20140110	   86.87
2408   	玭ㄈ       	20140110	   46.78
2357   	地河         	20140110	  204.09
3008   	ミ       	20140110	 1068.00
3481   	竤承         	20140110	    9.65
2412   	い地筿       	20140110	   72.66
2308   	笷筿       	20140110	  134.37
2327   	瓣エ         	20140110	   33.71
2317   	翬         	20140110	   64.34
2474   	Θ         	20140110	  176.27
1101   	猟         	20140113	   31.61
1216   	参         	20140113	   39.06
1301   	鹅         	20140113	   64.87
1402   	环狥穝       	20140113	   26.92
2002   	い葵         	20140113	   21.88
2105   	タ穝         	20140113	   62.36
2912   	参禬       	20140113	  162.34
9904   	腳Θ         	20140113	   34.95
